url,url_type,http_status,final_url,redirect_count,robots_status,x_robots_tag,meta_robots,canonical,canonical_matches_url,in_sitemap,sitemap_indexable,title,title_length,meta_description_present,h1_present,content_word_count,internal_inlinks,orphan_status,render_mode,schema_validity,indexability_status,blocking_reason,quality_flags,recommended_action,priority
"https://holiswiss.ch/fr","home","200","https://holiswiss.ch/fr","0","allowed","","index, follow","https://holiswiss.ch/fr","true","true","true","Holiswiss — Thérapeutes holistiques en Suisse","45","true","true","709","118","liée","SSR","27 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/fr/therapeutes","listing","200","https://holiswiss.ch/fr/therapeutes","0","allowed","","index, follow","https://holiswiss.ch/fr/therapeutes","true","true","true","Trouver un thérapeute en Suisse — Holiswiss","43","true","true","591","118","liée","SSR","39 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/fr/blog","article","200","https://holiswiss.ch/fr/blog","0","allowed","","index, follow","https://holiswiss.ch/fr/blog","true","true","true","Blog bien-être &amp; thérapies holistiques — Holiswiss","54","true","true","2119","118","liée","SSR","19 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/fr/paroles","static","200","https://holiswiss.ch/fr/paroles","0","allowed","","index, follow","https://holiswiss.ch/fr/paroles","true","true","true","Voix d&#x27;experts — Paroles de thérapeutes | Holiswiss","56","true","true","319","118","liée","SSR","10 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/fr/evenements","static","200","https://holiswiss.ch/fr/evenements","0","allowed","","index, follow","https://holiswiss.ch/fr/evenements","true","true","true","Événements bien-être en Suisse | HoliSwiss","42","true","true","291","118","liée","SSR","19 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/fr/tarifs","static","200","https://holiswiss.ch/fr/tarifs","0","allowed","","index, follow","https://holiswiss.ch/fr/tarifs","true","true","true","Tarifs Holiswiss — Plans pour thérapeutes","41","true","true","453","118","liée","SSR","19 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/fr/faq","static","200","https://holiswiss.ch/fr/faq","0","allowed","","index, follow","https://holiswiss.ch/fr/faq","true","true","true","FAQ — Trouver un thérapeute holistique en Suisse | Holiswiss","60","true","true","899","118","liée","SSR","48 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/fr/contact","static","200","https://holiswiss.ch/fr/contact","0","allowed","","index, follow","https://holiswiss.ch/fr/contact","true","true","false","Contact — Holiswiss","19","true","true","130","118","liée","SSR","12 types","A_DEDUPLIQUER_OU_CONSOLIDER","","contenu mince (130 mots) ; title dupliqué","canonicaliser ou différencier le contenu","4"
"https://holiswiss.ch/fr/impressum","static","200","https://holiswiss.ch/fr/impressum","0","allowed","","noindex, follow","https://holiswiss.ch/fr/impressum","true","true","false","Mentions légales / Impressum — Holiswiss","40","true","true","583","118","liée","SSR","10 types","NON_INDEXABLE_VOLONTAIRE","meta robots noindex","title dupliqué","retirer du sitemap et de la file","4"
"https://holiswiss.ch/fr/conditions","static","200","https://holiswiss.ch/fr/conditions","0","allowed","","noindex, follow","https://holiswiss.ch/fr/conditions","true","true","false","Conditions générales d&#x27;utilisation — Holiswiss","51","true","true","857","118","liée","SSR","10 types","NON_INDEXABLE_VOLONTAIRE","meta robots noindex","title dupliqué","retirer du sitemap et de la file","4"
"https://holiswiss.ch/fr/confidentialite","static","200","https://holiswiss.ch/fr/confidentialite","0","allowed","","noindex, follow","https://holiswiss.ch/fr/confidentialite","true","true","false","Politique de confidentialité — Holiswiss","40","true","true","580","118","liée","SSR","10 types","NON_INDEXABLE_VOLONTAIRE","meta robots noindex","title dupliqué","retirer du sitemap et de la file","4"
"https://holiswiss.ch/de","home","200","https://holiswiss.ch/de","0","allowed","","index, follow","https://holiswiss.ch/de","true","true","true","Holiswiss — Ganzheitliche Therapeuten in der Schweiz","52","true","true","661","111","liée","SSR","27 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/de/therapeutes","listing","200","https://holiswiss.ch/de/therapeutes","0","allowed","","index, follow","https://holiswiss.ch/de/therapeutes","true","true","true","Therapeuten in der Schweiz finden — Holiswiss","45","true","true","543","111","liée","SSR","39 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/de/blog","article","200","https://holiswiss.ch/de/blog","0","allowed","","index, follow","https://holiswiss.ch/de/blog","true","true","true","Blog Wohlbefinden &amp; ganzheitliche Therapien — Holiswiss","59","true","true","2153","111","liée","SSR","19 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/de/paroles","static","200","https://holiswiss.ch/de/paroles","0","allowed","","index, follow","https://holiswiss.ch/de/paroles","true","true","true","Expertenstimmen — Beiträge von Therapeuten | Holiswiss","54","true","true","308","111","liée","SSR","10 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/de/evenements","static","200","https://holiswiss.ch/de/evenements","0","allowed","","index, follow","https://holiswiss.ch/de/evenements","true","true","true","Wellness-Veranstaltungen in der Schweiz | HoliSwiss","51","true","true","258","111","liée","SSR","19 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/de/tarifs","static","200","https://holiswiss.ch/de/tarifs","0","allowed","","index, follow","https://holiswiss.ch/de/tarifs","true","true","true","Holiswiss Preise — Pläne für Therapeuten","40","true","true","395","111","liée","SSR","19 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
"https://holiswiss.ch/de/faq","static","200","https://holiswiss.ch/de/faq","0","allowed","","index, follow","https://holiswiss.ch/de/faq","true","true","true","FAQ — Therapeuten in der Schweiz finden | Holiswiss","51","true","true","754","111","liée","SSR","48 types","INDEXABLE_ET_PRIORITAIRE","","","aucune","2"
